Title,Text
"KPU Abaikan Putusan PTUN, MK Minta PSU DPD Sumbar Sertakan Irman Gusman","Jakarta - Mahkamah Konstitusi (MK) mengabulkan permohonan Irman Gusman terkait pencoretan namanya dalam daftar calon tetap (DCT) anggota DPD RI. MK memerintahkan KPU melakukan pemungutan suara ulang (PSU) DPD Sumatera Barat (Sumbar).""Mengabulkan Permohonan Pemohon untuk seluruhnya,"" kata Ketua MK, Suhartoyo, saat membacakan putusan 03-03/PHPU.DPD-XXII/2024, di gedung MK, Jakarta Pusat, Senin (10/6/2024).""Menyatakan hasil perolehan suara calon anggota Dewan Perwakilan Daerah Provinsi Sumatera Barat harus dilakukan pemungutan suara ulang,"" sambungnya.
MK membatalkan Keputusan Komisi Pemilihan Umum Nomor 360 Tahun 2024 sepanjang berkaitan dengan perolehan suara calon anggota Dewan Perwakilan Daerah Provinsi Sumatera Barat. MK memberikan waktu paling lama 45 hari untuk KPU melakukan PSU.Dalam pertimbangannya, MK berpandangan jika KPU telah mengabaikan putusan PTUN Jakarta Nomor 600/G/SPPU/2023/PTUN-JKT bertanggal 19 Desember 2023. Di mana, dalam putusan itu menyatakan jika Keputusan KPU Nomor 1563 Tahun 2023 tentang penetapan calon tetap Anggota DPD RI dapil Sumbar batal.""Sampai batas akhir pencabutan dan penerbitan keputusan sebagaimana diperintahkan dalam amar putusan PTUN Jakarta 600/G/SPPU/2023/PTUN-JKT, Termohon tidak menindaklanjuti,"" ujar Suhartoyo.Suhartoyo mengatakan berdasarkan pertimbangan putusan PTUN, Irman Gusman tidak pernah diancam pidana 5 tahun atau lebih. Sebab itu, Irman Gusman tidak terikat dengan ketentuan masa jeda 5 tahun.""Mengenai hukuman pencabutan hak dipilih dalam masa jabatan publik, pertimbangan hukum putusan PTUN Jakarta 600/2023 menyatakan bahwa oleh karena masa jeda 5 (lima) tahun tidak dapat diberlakukan kepada Penggugat (Pemohon dalam perkara a quo), maka hukuman tambahan berupa pencabutan hak untuk dipilih dalam jabatan publik selama 3 (tiga) tahun terhitung sejak Terpidana (Pemohon dalam perkara a quo) selesai menjalani pidana pokok haruslah tetap diberlakukan kepada Penggugat (Pemohon dalam perkara a quo),"" tuturnya.MK menilai KPU tidak menindaklanjuti putusan PTUN menimbulkan ketidakpastian, menunda keadilan, dan menurunkan kewibawaan institusi peradilan. Dalam kaitannya dengan Irman Gusman, MK menilai ketidakpatuhan itu telah menciderai hak konstitusional warga negara.""Demi memulihkan hak konstitusional warga negara yang telah memenuhi syarat untuk dipilih dalam kontestasi pemilu DPD dan kepastian hukum yang adil, maka Keputusan KPU 1563/2023 menjadi tidak dapat diberlakukan dan harus dinyatakan tidak sah serta tidak mempunyai kekuatan hukum,"" jelasnya.""Dengan dinyatakan tidak berlaku dan tidak sahnya Keputusan KPU 1563/2023 juga berakibat hukum batal dan tidak sahnya Keputusan KPU 360/2024 sepanjang berkenaan dengan perolehan suara calon anggota DPD Provinsi Sumatera Barat,"" sambung dia.Selain itu, MK menyatakan PSU tersebut dilakukan tanpa adanya kampanye terlebih dulu untuk Irman Gusman. Maka, menurutnya, penting untuk Irman Gusman menyampaikan kepada publik terkait statusnya sebagai mantan terpidana.""Dalam hal ini hanya Pemohon yang belum menyampaikan secara terbuka dan jujur tentang jati dirinya, oleh karenanya menurut Mahkamah terdapat kewajban bagi Pemohon untuk menyampaikan kepada publik mengenai jati dirinya termasuk pernah menjadi terpidana,"" paparnya.Simak Video 'Anggota Komisi II Semprot KPU-Bawaslu di Rapat, Bahas soal Keseriusan': [Gambas:Video 20detik] 
(amw/rfs)"
Mendagri Tito Bakal Ganti Pj Gubernur Hendak Maju Pilkada 2024,"Jakarta - Mendagri Tito Karnavian menyampaikan pihaknya bakal mengganti penjabat (Pj) kepala daerah yang hendak maju di Pilkada 2024. Dia mengatakan pergantian itu akan dilakukan pada Juli mendatang.""Kami sudah sampaikan kemungkinan besar pertengahan Juli yang ingin running (maju pilkada) dia harus kita ganti dan itu nggak ada aturan UU-nya tapi kami yang ambil kebijakan karena ada bahasa sebelum satu tahun,"" kata Tito dalam rapat bersama Komisi II DPR di gedung MPR/DPR/DPD RI, Senayan, Jakarta, Senin (10/6/2024).Tito mengatakan telah mengeluarkan surat edaran kepada seluruh penjabat kepala daerah. Dia meminta penjabat kepala daerah yang hendak berkontestasi di Pilkada 2024 agar melapor ke Kemendagri.
""Kami juga nyampaikan kita tidak menghalangi hak orang berpolitik selagi tidak dicabut hak politiknya. Tapi ada persyaratan yaitu mereka harus mundur dari ASN dengan risiko kehilangan ASN dan jabatannya,"" kata Tito.Sebab, jelas Tito, Kemendagri memerlukan waktu sekitar satu bulan untuk mempersiapkan sosok pengganti penjabat kepala daerah.""Kami juga sudah menyampaikan kami perlu waktu kira-kira 30 hari untuk mempersiapkan karena kita harus kirim surat lagi ke DPRD-nya ke Pj gubernur atau gubernurnya untuk kirimkan nama-nama lagi, kembali melalui proses lagi, sidang lagi, perlu waktu paling nggak 2-3 minggu. Tidak asal tunjuk saja orang itu,"" katanya.
(fca/azh)"
PD Cecar KPU soal Penyimpangan Perjalanan Dinas: Tak Perlu Anggaran Lagi,"Jakarta - Anggota Komisi II DPR Fraksi Demokrat Rezka Oktoberia mencecar Ketua KPU Hasyim Asy'ari soal laporan BPK menyebutkan adanya penyimpangan perjalanan dinas (perdinas) oleh KPU. Rezka menggertak KPU tak perlu diberikan anggaran lagi di tahun 2025 lantaran seluruh tahapan Pemilu 2024 telah selesai.Hal itu disampaikan Rezka dalam rapat pembahasan RAPBN TA 2025 KPU bersama Komisi II DPR di gedung DPR, Senayan, Jakarta, Senin (10/6/2024). Rezka mempertanyakan soal mobil dinas dan rumah dinas yang diduga ada pemborosan anggaran.""Yang saya pertanyakan terkait mobil dinas dan rumah itu juga termasuk di dalam anggaran. Jadi kalau ada terkait pemborosan anggaran, ngapain lagi kita tambah di anggaran untuk 2025 ini. Kalau perlu KPU ini nggak perlu dikasih anggaran lagi, udah nggak ada yang harus dilakukan lagi di 2025. Semua proses tahapan sudah selesai,"" kata Rezka.
Rezka kemudian menyinggung Laporan Hasil Pemeriksaan (LHP) BPK yang menguraikan adanya penyimpangan belanja perjalanan dinas, salah satunya oleh KPU yang disebut belum mengembalikan Rp 10,57 miliar ke kas negara. Selain itu, Rezka juga mencecar Hasyim soal pelaksanaan pemberian honor kepada Panitia Pemilihan Kecamatan (PPK) dan Panitia Pemungutan Suara (PPS).""Dan saya juga ingin mempertanyakan, saya mendapatkan informasi terkait penyimpangan belanja perjalanan dinas. Tercatat KPU belum mengembalikan sisa kelebihan perjalanan dinas sebanyak Rp 10,57 miliar belum dikembalikan ke kas negara,"" ujar Rezka.""Terakhir terkait honor, apakah semuanya sudah KPU berikan, apa masih ada? Karena saya setiap detik setiap hari itu masuk, Pak Ketua, Pak Sekjen, banyak yang menyampaikan ke saya. Jadi sekali lagi, saya pengen jawaban apakah semua honor ini semua sudah dibayar sampai mereka bertugas terakhir atau sampai Maret dibayar? April mereka tidak dibayar lagi? Atau bagaimana? Coba dijelaskan. Karena anggarannya semua tadi sudah bapak jelaskan. Harusnya kalau sudah ada anggaran, hak mereka harus diberikan,"" imbuh dia.Dalam kesempatan itu, Hasyim menjelaskan permasalahan pemberian honor masih terkendala di Kabupaten Banjar, Kalimantan Selatan. Dia menjelaskan alasan pencairan honor terlambat.""Jadi situasi Itu dialami di Kabupaten Banjar Kalimantan Selatan. Anggaran 2023 itu ada yang kurang 1 bulan, kemudian baru dimasukkan di tahun 2024 sehingga untuk bisa sampai kepada pencairan harus di-review maka kemudian boleh dikatakan terlambat di antaranya karena baru dianggarkan di 2024 dan harus di-review, dan itu sepengetahuan kami satu-satunya di Kabupaten Banjar dan sudah dibayarkan,"" kata Hasyim.Rezka kemudian menanyakan situasi di Kabupaten Indramayu. Hasyim membeberkan pemberian honor kepada PPK dan PPS di kabupaten itu juga masih dalam proses pencairan.""Kabupaten Indramayu?"" tanya Rezka.""Untuk Kabupaten Indramayu juga masih di-review oleh BPKP, seperti yang di Kabupaten Banjar tadi juga di-review oleh BPKP,"" jawab Hasyim.Rezka pun mengoreksi jawaban Hasyim yang menyebut Kabupaten Banjar merupakan satu-satunya kabupaten yang proses pencairan honor PPK dan PPS-nya mengalami kendala. Dia lantas meminta KPU segera merampungkan itu.""Berarti bukan satu-satunya kabupaten, Pak, ini masih ada data yang lain. Jadi nanti pimpinan saya sekali lagi menegaskan ini haknya dari ad hoc. Bapak menyampaikan anggaran sudah semua tadi dipaparkan anggaran untuk honor ad hoc segala macam, tapi mereka masih ada yang belum menerima honornya sebagai PPK, PPS. Jadi sekali lagi saya minta KPU selesaikan semua honor ad hoc yang belum selesai, dipercepat,"" ujar dia.
(fca/azh)"
"MK Kabulkan Gugatan PAN di Jatim IV, Minta Hitung Ulang Surat Suara DPR","Jakarta - Mahkamah Konstitusi (MK) mengabulkan permohonan PAN terkait selisih suara DPR RI di daerah pemilihan (dapil) Jawa Timur IV. MK memerintahkan KPU menghitung ulang surat suara di 105 TPS Desa Jamintoro, Desa Jembersari, Desa Yosorati, Desa Gelang, Desa Pringgowirawan, dan Desa Karangbayat, Kecamatan Sumberbaru.""Mengabulkan permohonan pemohon untuk sebagian,"" kata Ketua MK, Suhartoyo, saat membacakan putusan 261-01-12-15/PHPU.DPR-DPRD-XXII/2024 di gedung MK, Jakarta Pusat, Senin (10/6/2024).""Menyatakan hasil perolehan suara partai politik dan calon anggota DPR sepanjangan dapil Jatim IV dan calon DPRD Kabupaten Pamekasan sepanjang dapil Pamekasan 2 harus dilakukan penghitungan surat suara ulang,"" sambungnya.
MK juga membatalkan Keputusan KPU Nomor 360 Tahun 2024 sepanjang perolehan suara DPR RI Dapil Jatim IV dan DPRD Dapil Pamekasan 2. MK memberikan waktu 15 hari untuk KPU melaksanakan penghitungan surat suara ulang.Dalam gugatannya, PAN mendalilkan adanya selisih suara antara PAN dan Gerindra selaku pihak Terkait. PAN menilai ada pengurangan suara sebesar 2.072 suara dan penambahan suara ke Gerindra sebesar 1.953.PAN berpandangan hal itu akan mempengaruhi perolehan kursi anggota DPR di Dapil Jatim IV. PAN meminta MK untuk membatalkan Keputusan KPU Nomor 360 Tahun 2024.Berdasarkan hasil persidangan, MK menemukan fakta jika KPU tidak melampirkan bukti berupa formulir D hasil kecamatan sebelum dilakukan rekapitulasi ulang. Selain itu, saat persidangan, KPU tidak dapat menghadirkan PPK Kecamatan Sumberbaru sebagai saksi.""Mahkamah tidak dapat memperoleh informasi dari saksi yang mengalami langsung terkait perolehan suara PAN setelah dilakukannya rekapitulasi ulang,"" kata Hakim Konstitusi, Saldi Isra.""Terlebih lagi Mahkamah tidak dapat menyandingkan bukti yang telah diajukan oleh Pemohon yakni berupa Formulir Model D. Hasil Kecamatan yang diyakini oleh Pemohon merupakan Formulir Model D. Hasil kecamatan sebelum diadakannya rekapitulasi ulang,"" sambungnya.Selain itu, MK tidak dapat meyakini bukti-bukti yang diajukan KPU. Terutama, terkait Formulir Model C Hasil DPR yang disampaikan, lantaran bukti Formulir Model C Hasil DPR tersebut hanya tercantum perolehan suara PAN dan Partai Gerindra tanpa pencantuman perolehan suara parti politik lainnya, sehingga membuat MK sulit menyandingkan data. ""Lebih lanjut, tidak adanya Formulir Model C. Hasil DPR secara lengkap yang dimiliki Termohon, membuat Mahkamah juga tidak dapat menyandingkan suara pemohon dan suara pihak terkait Gerindra yang tersalin di Formulir D hasil kecamatan,"" ujar dia.""Berdasarkan fakta hukum, oleh karena adanya permasalahan tersebut, maka menurut Mahkamah demi mendapatkan kepastian hukum dan untuk memastikan jumlah perolehan suara masing-masing partai politik, maka menurut Mahkamah harus dilakukan Penghitungan Surat Suara Ulang,"" imbuhnya.
(amw/rfs)"
"Masa Kerja Pantarlih Pilkada 2024, Pendaftaran Dibuka 13 Juni","Jakarta - Pendaftaran anggota Pantarlih Pilkada 2024 dibuka mulai tanggal 13 Juni 2024. Bagi masyarakat yang hendak mendaftar, maka perlu mengetahui informasi terkait jadwal pembentukan, masa kerja, hingga tugas dan kewajiban Pantarlih dalam penyelenggaraan Pilkada serentak tahun 2024.Berikut informasi selengkapnya:Masa Kerja Pantarlih Pilkada: 24 Juni-25 JuliTerkait jadwal pembentukan serta masa kerja Pantarlih untuk Pilkada 2024 telah diatur dalam Keputusan KPU Nomor 638 Tahun 2024 tentang Perubahan Kelima atas Keputusan KPU Nomor 476 Tahun 2022 tentang Pedoman Teknis Pembentukan Badan Adhoc Penyelenggara Pemilihan Umum dan Pemilihan Gubernur dan Wakil Gubernur, Bupati dan Wakil Bupati, dan Walikota dan Wakil Walikota.
Menurut Keputusan KPU tersebut, lamanya masa kerja Pantarlih dalam penyelenggaraan Pilkada tahun 2024 adalah sekitar satu bulan, yakni dari tanggal 24 Juni 2024 sampai dengan tanggal 25 Juli 2024. Pantarlih dapat bekerja sejak masa pelantikan yang dilaksanakan pada tanggal 24 Juni 2024.Jadwal pembentukan Pantarlih Pilkada 2024 adalah sebagai berikut:Pengumuman pendaftaran calon Pantarlih: Tanggal 13-17 Juni 2024Penerimaan pendaftaran calon Pantarlih: Tanggal 13-19 Juni 2024Penelitian administrasi calon Pantarlih: Tanggal 14-20 Juni 2024Pengumuman hasil seleksi calon Pantarlih: Tanggal 21-23 Juni 2024Penetapan nama hasil seleksi Pantarlih: Tanggal 23 Juni 2024Pelantikan Pantarlih: Tanggal 24 Juni 2024Masa kerja Pantarlih: Tanggal 24 Juni-25 Juli 2024.Sebagai informasi, Pantarlih adalah Petugas Pemutakhiran Data Pemilih. Pantarlih dibentuk oleh PPS (Panitia Pemungutan Suara) untuk melakukan pendaftaran dan pemutakhiran data pemilih pada tahapan Pemilu dan Pemilihan (Pilkada).Tugas dan Kewajiban Pantarlih Pilkada 2024Sementara terkait tugas dan kewajiban Pantarlih dalam Pilkada 2024 diatur dalam Peraturan KPU (PKPU) Nomor 8 Tahun 2022 tentang Pembentukan dan Tata Kerja Badan Adhoc Penyelenggara Pemilihan Umum dan Pemilihan Gubernur dan Wakil Gubernur, Bupati dan Wakil Bupati, dan Walikota dan Wakil Walikota.Tugas Pantarlih dalam penyelenggaraan Pilkada 2024 adalah meliputi:Membantu KPU Kabupaten/Kota, PPK, dan PPS dalam melakukan penyusunan daftar Pemilih dan pemutakhiran data Pemilih.Melaksanakan pencocokan dan penelitian data Pemilih.Memberikan tanda bukti terdaftar kepada Pemilih.menyampaikan hasil pencocokan dan penelitian kepada PPS.Melaksanakan tugas lain yang diberikan oleh KPU, KPU Provinsi, KPU Kabupaten/Kota, PPK, dan PPS sesuai dengan ketentuan peraturan perundang-undangan.Kewajiban Pantarlih dalam penyelenggaraan Pilkada 2024 adalah meliputi:Melakukan koordinasi dalam membantu PPS untuk menyusun daftar Pemilih hasil pemutakhiran. menyusun dan menyampaikan laporan pelaksanaanPencocokan dan penelitian kepada PPS.Dalam melaksanakan tugas dan kewajiban Pantarlih bertanggung jawab kepada PPS.
(wia/jbr)"
Verifikasi Faktual Pilkada 2024: Pengertian hingga Tata Cara,"Daftar Isi




							Pengertian Verifikasi Faktual Pilkada 2024						



							Tata Cara Verifikasi Faktual						



							Jadwal Verifikasi Faktual Pilkada 2024						






Jakarta - Verifikasi Faktual Persyaratan Dukungan Pasangan Calon Perseorangan merupakan bagian dari tahapan Pilkada 2024. Tahun ini, Pilkada serentak digelar pada tanggal 27 November 2024.Lantas, apa itu verifikasi faktual? Bagaimana tata cara verifikasi faktual dalam Pilkada 2024? Simak penjelasan di bawah ini.Pengertian Verifikasi Faktual Pilkada 2024Berdasarkan informasi resmi dari Bawaslu RI, verifikasi faktual (verfak) adalah tahapan untuk membuktikan kebenaran identitas pendukung Pasangan Calon. Tahapan 'Verifikasi Faktual Persyaratan Dukungan Pasangan Calon Perseorangan' untuk Pilkada 2024 dimulai 3 Juni 2024.
Verifikasi faktual dilakukan untuk mencocokkan nama dan alamat pendulung dalam formulir yang disampaikan kepada KPU dengan KTP-el, surat keterangan berupa biodata penduduk, atau Identitas Kependudukan Digital milik pendukung dan memastikan kebenaran dukungan yang diberikan.Tata Cara Verifikasi FaktualBerikut tata cara melakukan verifikasi faktual dalam Pilkada 2024:Menemui pendukung di tempat tinggalnya atau tempat lainMeminta Pasangan Calon perseorangan dan/atau petugas penghubung untuk mengumpulkan pendukung di kantor PPS atau tempat lain yang disepakati.KPU Kabupaten/Kota dan/atau PPS dalam menemui pendukung di tempat tinggalnya dapat berkoordinasi dengan perangkat lembaga kemasyarakatan setempat.Dalam hal pendukung tidak dapat ditemui dan/atau dikumpulkan, KPU Kabupaten/Kota dan/atau PPS melakukan verifikasi faktual kesatu dengan menggunakan sarana teknologi informasi dalam waktu seketika berupa panggilan vieo dan/atau rekaman video. Pendukung harus memperlihatkan wajah yang jelas dengan KTP-el, surat keterangan berupa biodata penduduk, atau Identitas Kependudukan Digital.Jadwal Verifikasi Faktual Pilkada 2024Menurut Keputusan KPU Nomor 532 Tahun 2024 tentang Pedoman Teknis Pemenuhan Syarat Dukungan Pasangan Calon Perseorangan Dalam Pemilihan Gubernur dan Wakil Gubernur, Bupati dan Wakil Bupati, Serta Walikota dan Wakil Walikota Tahun 2024, berikut jadwal pelaksanaan verifikasi faktual Pilkada 2024.Verifikasi faktual kesatu: 3 - 16 Juni 2024Rekapitulasi hasil verifikasi faktual kesatu di tingkat kecamatan: 17 - 23 Juni 2024Rekapitulasi hasil verifikasi faktual kesatu di tingkat kabupaten/kota: 24 - 30 Juni 2024Rekapitulasi hasil verifikasi faktual kesatu di tingkat provinsi: 24 - 30 Juni 2024Verifikasi faktual kedua: 24 Juli - 2 Agustus 2024Rekapitulasi verifikasi faktual kedua di tingkat kecamatan: 3 - 7 Agustus 2024Rekapitulasi verifikasi faktual kedua dan rekapitulasi akhir hasil verifikasi persyaratan dukungan minimal di tingkat kabupaten/kota: 8 - 14 Agustus 2024Rekapitulasi verifikasi faktual kedua dan rekapitulasi akhir hasil verifikasi persyaratan dukungan minimal di tingkat provinsi: 8 - 14 Agustus 2024.
(kny/jbr)"
